symbol;frozen;paused;canCollateral;LTV;liqThereshold;liqBonus;reserveFactor;canBorrow;optimalUtilization;supplyRate;varBorrowRate;canBorrowStable;stableBorrowRate;shareOfStableRate;isIsolated;debtCeiling;supplyCap;borrowCap;eModeLtv;eModeLiquidationThereshold;eModeLiquidationBonus;borrowableInIsolation;flashloanEnabled;assetLink
DAI;False;False;True;63%;77%;5%;25%;True;90%;11.74%;17.58%;False;0.00%;0%;False;N/A;0.0450B;0.0300B;93%;95%;1%;True;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x8f3cf7ad23cd3cadbd9735aff958023239c6a063&marketName=proto_polygon_v3
LINK;False;False;True;66%;71%;7.5%;20%;True;45%;0.01%;0.32%;False;0.00%;0%;False;N/A;0.0008B;0.0002B;0%;0%;0%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39&marketName=proto_polygon_v3
USDC;False;False;True;75%;78%;5%;50%;True;90%;2.33%;7.41%;False;0.00%;0%;False;N/A;0.0480B;0.0435B;93%;95%;1%;True;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x2791bca1f2de4661ed88a30c99a7a9449aa84174&marketName=proto_polygon_v3
WBTC;False;False;True;73%;78%;6.5%;20%;True;45%;0.02%;0.43%;False;0.00%;0%;False;N/A;0.0000B;0.0000B;0%;0%;0%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6&marketName=proto_polygon_v3
WETH;False;False;True;80%;83%;5%;15%;True;90%;0.81%;2.29%;False;0.00%;0%;False;N/A;0.0001B;0.0000B;90%;93%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x7ceb23fd6bc0add59e62ac25578270cff1b9f619&marketName=proto_polygon_v3
USDT;False;False;True;75%;78%;5%;10%;True;90%;4.34%;5.52%;False;0.00%;0%;False;N/A;0.0900B;0.0850B;93%;95%;1%;True;True;https://app.aave.com/reserve-overview/?underlyingAsset=0xc2132d05d31c914a87c6611c10748aeb04b58e8f&marketName=proto_polygon_v3
AAVE;False;False;True;63%;70%;7.5%;0%;False;45%;0.00%;0.00%;False;0.00%;0%;False;N/A;0.0001B;N/A;0%;0%;0%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0xd6df932a45c0f255f85145f286ea0b292b21c90b&marketName=proto_polygon_v3
WPOL;False;False;True;68%;73%;7%;20%;True;75%;2.44%;4.59%;False;0.00%;0%;False;N/A;0.1050B;0.0670B;92.5%;95%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270&marketName=proto_polygon_v3
CRV;True;False;False;0%;50%;5%;35%;True;70%;1.37%;8.48%;False;0.00%;0%;False;N/A;0.0014B;0.0003B;0%;0%;0%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x172370d5cd63279efa6d502dab29171933a610af&marketName=proto_polygon_v3
SUSHI;True;False;False;0%;45%;0%;20%;True;45%;113.10%;294.68%;False;0.00%;0%;False;N/A;0.0003B;0.0002B;0%;0%;0%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a&marketName=proto_polygon_v3
GHST;False;False;False;0%;45%;5%;35%;False;45%;0.00%;0.12%;False;0.00%;0%;False;N/A;0.0046B;0.0002B;0%;0%;0%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7&marketName=proto_polygon_v3
BAL;True;False;False;0%;42%;0%;20%;True;80%;0.59%;7.93%;False;0.00%;0%;False;N/A;0.0004B;0.0003B;0%;0%;0%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3&marketName=proto_polygon_v3
DPI;True;False;False;0%;45%;0%;35%;True;45%;48.26%;168.72%;False;0.00%;0%;False;N/A;0.0000B;0.0000B;0%;0%;0%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x85955046df4668e1dd369d2de9f3aeb98dd2a369&marketName=proto_polygon_v3
EURS;False;False;True;65%;70%;7.5%;20%;True;80%;3.34%;5.46%;False;0.00%;0%;True;0.675M;0.0040B;0.0030B;93%;95%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0xe111178a87a3bff0c8d18decba5798827539ae99&marketName=proto_polygon_v3
jEUR;True;False;False;0%;0%;0%;20%;True;90%;1.12%;2.96%;False;0.00%;0%;False;N/A;0.0001B;0.0001B;93%;95%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x4e3decbb3645551b8a19f0ea1678079fcb33fb4c&marketName=proto_polygon_v3
EURA;True;False;False;0%;0%;0%;20%;False;80%;0.43%;1.93%;False;0.00%;0%;False;N/A;0.0003B;0.0003B;93%;95%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0xe0b52e49357fd4daf2c15e02058dce6bc0057db4&marketName=proto_polygon_v3
miMATIC;True;False;False;0%;1%;5%;95%;True;45%;0.06%;5.11%;False;0.00%;0%;True;0.180M;0.0009B;0.0007B;93%;95%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0xa3fa99a148fa48d14ed51d610c367c61876997f1&marketName=proto_polygon_v3
stMATIC;False;False;True;48%;58%;0%;20%;False;45%;0.00%;0.00%;False;0.00%;0%;False;N/A;0.0610B;N/A;92.5%;95%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4&marketName=proto_polygon_v3
MaticX;False;False;True;50%;60%;0%;20%;True;45%;0.00%;0.31%;False;0.00%;0%;False;N/A;0.1200B;0.0052B;92.5%;95%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0xfa68fb4628dff1028cfec22b4162fccd0d45efb6&marketName=proto_polygon_v3
wstETH;False;False;True;75%;79%;7.2%;5%;True;45%;0.00%;0.27%;False;0.00%;0%;False;N/A;0.0000B;0.0000B;90%;93%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x03b54a6e9a984069379fae1a4fc4dbae93b3bccd&marketName=proto_polygon_v3
USDC;False;False;True;75%;78%;5%;10%;True;90%;6.49%;8.04%;False;0.00%;0%;False;N/A;0.0500B;0.0450B;93%;95%;1%;False;True;https://app.aave.com/reserve-overview/?underlyingAsset=0x3c499c542cef5e3811e1192ce70d8cc03d5c3359&marketName=proto_polygon_v3
