block_number,block_timestamp,transaction_hash,transaction_index,log_index,topics,data
58329098,2024-06-19 00:04:58,0x60a23a68bf7fdfbf0b5575c867b080b5f42723bb47d9b46d67cc9120147ad5e7,82,419,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003b70cf21fafe0d43dada40000000000000000000000000000000000000000003eba36dda7001ebb8e02580000000000000000000000000000000000000000001107798e07b96fae5b8ebb00000000000000000000000000000000000000000343eea90a3ae0a4e5b9f49c0000000000000000000000000000000000000000035fb25e431418fe47a94c69
58329098,2024-06-19 00:04:58,0x60a23a68bf7fdfbf0b5575c867b080b5f42723bb47d9b46d67cc9120147ad5e7,82,424,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x00000000000000000000000085c3155ec8a4270cce9fd94ec91de0e3b2d29993', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000c4aff49fced8ac1d818a6dcab063f9f97e66ec5e00000000000000000000000000000000000000000000000000f9a2279daa531c
58329098,2024-06-19 00:04:58,0x9e4b222f30ca9d2683513e249cde236cc0dfd22c46522634dd33e6fdb7f9c805,88,522,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003b70ceb90ea074650cc350000000000000000000000000000000000000000003eba36d14742d773d4e9cd00000000000000000000000000000000000000000011077983d256e1acc940e300000000000000000000000000000000000000000343eea90a3ae0a4e5b9f49c0000000000000000000000000000000000000000035fb25e431418fe47a94c69
58329098,2024-06-19 00:04:58,0x9e4b222f30ca9d2683513e249cde236cc0dfd22c46522634dd33e6fdb7f9c805,88,527,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x0000000000000000000000003057301dc804e93b971966d5b5bbd3db45d0e803', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000c4aff49fced8ac1d818a6dcab063f9f97e66ec5e0000000000000000000000000000000000000000000000000006d5eb6b579b25
58329121,2024-06-19 00:05:58,0x5521f31be2ff76ca83fc8683d981dfcb92971abf68aded689709f67a699169e6,68,421,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003b70cda2eb010a971dca70000000000000000000000000000000000000000003eba36b079f622c06467f400000000000000000000000000000000000000000011077968c29132ff2608f600000000000000000000000000000000000000000343eea98211b615d3ac05830000000000000000000000000000000000000000035fb2607aa619bd11b576c9
58329121,2024-06-19 00:05:58,0x5521f31be2ff76ca83fc8683d981dfcb92971abf68aded689709f67a699169e6,68,426,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000a7a7ffe0520e90491e58c9c77f78d7cfc32d019e', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000a7a7ffe0520e90491e58c9c77f78d7cfc32d019e0000000000000000000000000000000000000000000000000014fc1fa30345f9
58329485,2024-06-19 00:19:54,0xada3efa46459edde45a7c99206367344b045768b48ddf46c477aef474f920055,65,270,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003b70cf513620bfdf625280000000000000000000000000000000000000000003eba36e338f39258884a9c00000000000000000000000000000000000000000011077992a02248a976d72700000000000000000000000000000000000000000343eeb007d4033f063581140000000000000000000000000000000000000000035fb27f5ecc02124cb6e0e8
58329485,2024-06-19 00:19:54,0xada3efa46459edde45a7c99206367344b045768b48ddf46c477aef474f920055,65,275,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000219561501b3f2c65d79b174f89f598b2618c9482', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000c4aff49fced8ac1d818a6dcab063f9f97e66ec5e000000000000000000000000000000000000000000000000000be0c1a23e1051
58329528,2024-06-19 00:21:37,0xecca4520e25721467689b9135ef025aeaf1b60846ff70df51ec05a3ad2e6edb9,94,1144,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003b6eb1a43ee1eeb9b79390000000000000000000000000000000000000000003eb9f700fbecfbf6a61baf000000000000000000000000000000000000000000110744de60fcd96582a3a300000000000000000000000000000000000000000343eeb0d58d5bd4b6eb088e0000000000000000000000000000000000000000035fb2832d2068a3613f0b67
58329528,2024-06-19 00:21:37,0xecca4520e25721467689b9135ef025aeaf1b60846ff70df51ec05a3ad2e6edb9,94,1149,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x00000000000000000000000008b08d7254909830dde8906bfa05187f58ac8421', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x00000000000000000000000008b08d7254909830dde8906bfa05187f58ac84210000000000000000000000000000000000000000000000002350250a779d5be2
