block_number,block_timestamp,transaction_hash,transaction_index,log_index,topics,data
58767903,2024-06-30 00:00:12,0x3d87f5a6ddd2d104a8ccb732656e7f64393cac8fd670253eb5c68809aaa710ec,53,1096,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b8ceb0e7aaaa0f772fc00000000000000000000000000000000000000000039e077d7d1ea4e5c25312f0000000000000000000000000000000000000000000f834cd9d9d9399c1f8134000000000000000000000000000000000000000003440e0f2ab86486877fcdda0000000000000000000000000000000000000000036034ca9c1cbe1dc44bb616
58767903,2024-06-30 00:00:12,0x3d87f5a6ddd2d104a8ccb732656e7f64393cac8fd670253eb5c68809aaa710ec,53,1101,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000f703c4db454b159107ee20c6b39d94af7a97d3be', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000f703c4db454b159107ee20c6b39d94af7a97d3be00000000000000000000000000000000000000000000000000a53ed4804354ea
58767927,2024-06-30 00:01:04,0x8214957594d31caec8b1a32f4ef735c927b2090274d8c4f96bb7439b10d2e81b,104,1500,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b8cecf6a2b472557b7200000000000000000000000000000000000000000039e077dbe5cd23a8bc8ef40000000000000000000000000000000000000000000f834cdc9a78bcc96c13b1000000000000000000000000000000000000000003440e0f8dcd3d735f95ce110000000000000000000000000000000000000000036034cc5c78c9fe07d8ea43
58767998,2024-06-30 00:03:36,0xa38533fd07b29805664e76f90893761009c9e63bc34bed62b34fdda8b5a6ac2b,161,1259,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b8cf2951561632e1b1300000000000000000000000000000000000000000039e077e7e9d09fef23b28d0000000000000000000000000000000000000000000f834ce4b6c7e3df581885000000000000000000000000000000000000000003440e10a7ebf970ba3e01d00000000000000000000000000000000000000000036034d17b0fb7bf8b4966a5
58768008,2024-06-30 00:04:00,0xd4a6f9d0e485028864ff97b8fbb4c2360d847db9c6ad2c6e90d837f6406d5666,81,310,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b8cf373e4e335a9a35e00000000000000000000000000000000000000000039e077e9c6475a0c6711e80000000000000000000000000000000000000000000f834ce5f864d4b318c5af000000000000000000000000000000000000000003440e10d7460bbca35625580000000000000000000000000000000000000000036034d249ff21ca1510462d
58768118,2024-06-30 00:08:10,0xdc096ca101aa38a7b232ab09d4793b8ed94c502a560284d7821765d72a0888ea,154,416,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b8cfcb112a14a3cc58500000000000000000000000000000000000000000039e077fd88095a5502faa90000000000000000000000000000000000000000000f834cf34e6161b0e86932000000000000000000000000000000000000000003440e12a7bc68ff70de6e280000000000000000000000000000000000000000036034dab592693e24121515
58768171,2024-06-30 00:10:02,0xdb39970a63e9c67cddc8c84599b6f423ef9bec69288b816b3e7d216683a57e16,75,346,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b8cb1413495b0a09b0f00000000000000000000000000000000000000000039e0775c370a9785c334b90000000000000000000000000000000000000000000f834c866ae89e31d09064000000000000000000000000000000000000000003440e1375b51dbcb8bcf4cb0000000000000000000000000000000000000000036034de7b451248ee6ed147
58768171,2024-06-30 00:10:02,0xdb39970a63e9c67cddc8c84599b6f423ef9bec69288b816b3e7d216683a57e16,75,351,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000a7a7ffe0520e90491e58c9c77f78d7cfc32d019e', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000a7a7ffe0520e90491e58c9c77f78d7cfc32d019e0000000000000000000000000000000000000000000000000058dffd78290694
58768281,2024-06-30 00:14:24,0x81ce35f5a080cfb9d8a6e5eb63415ecc2a47e7baca485d71721ece0b71915c2a,8,21,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b72b65f154e65c31bd500000000000000000000000000000000000000000039e03fcd6ed4f4e88013330000000000000000000000000000000000000000000f8327060a2ad06e100cf6000000000000000000000000000000000000000003440e15578876eaa6b67a2b0000000000000000000000000000000000000000036034e74e4ff9639b11bbec
58768281,2024-06-30 00:14:24,0x81ce35f5a080cfb9d8a6e5eb63415ecc2a47e7baca485d71721ece0b71915c2a,8,26,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000460b60565cb73845d56564384ab84bf84c13e47d', '0x00000000000000000000000000000000000000000000000000000000000000c4']",0x000000000000000000000000460b60565cb73845d56564384ab84bf84c13e47d0000000000000000000000000000000000000000000000001d0e8691c5849aa0
58768334,2024-06-30 00:16:24,0x6c114899182606819e3dabf7a6d8cb9e8675d8baf0218bdc3626b156bd32ca5b,141,3839,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b72bace6cd8a57220a400000000000000000000000000000000000000000039e03fd6eacc949ad852390000000000000000000000000000000000000000000f83270c710b8f6cd86ab3000000000000000000000000000000000000000003440e16364f27105e442ca10000000000000000000000000000000000000000036034eb58f349d342329420
58768340,2024-06-30 00:16:38,0xa94c22e86552d8e408c188d978bb506994bf9a3c47f17ce529347d3c9753ee93,60,178,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b73d99a061727d3e3f200000000000000000000000000000000000000000039e0423c3cedad258c1d3e0000000000000000000000000000000000000000000f8328aa6ee1e66411c6f0000000000000000000000000000000000000000003440e16500d781a27f073f60000000000000000000000000000000000000000036034ebd1a87a1e8519a939
58768340,2024-06-30 00:16:38,0xa94c22e86552d8e408c188d978bb506994bf9a3c47f17ce529347d3c9753ee93,60,183,"['0x3115d1449a7b732c986cba18244e897a450f61e1bb8d589cd2e69e6c8924f9f7', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000c4aff49fced8ac1d818a6dcab063f9f97e66ec5e', '0x000000000000000000000000c4aff49fced8ac1d818a6dcab063f9f97e66ec5e']",0x000000000000000000000000000000000000000000000000013fbe85edc90000
58768364,2024-06-30 00:17:28,0x739f504640db1b7c5a489fecc92fd356c7a29e2d1068baa15cde9d9fa40858d7,17,74,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b73db707711a1cd2b0100000000000000000000000000000000000000000039e042402afb1f1047c9cb0000000000000000000000000000000000000000000f8328ad15f7c67c1d41d0000000000000000000000000000000000000000003440e16ae95044cc1e7b3870000000000000000000000000000000000000000036034ed80c20aef3a9bde59
58768389,2024-06-30 00:18:32,0x0b77d7d65ef4598882704c26699f2391013e88505685074568347456b8a20930,180,1547,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b73ddcaa8441892122600000000000000000000000000000000000000000039e0424532c957c06135eb0000000000000000000000000000000000000000000f8328b07b3c93262e6acb000000000000000000000000000000000000000003440e17278fe5b51c8fab450000000000000000000000000000000000000000036034efa890da5f5689ed07
58768406,2024-06-30 00:19:10,0xbcbaf3044a51e3cc821a971ae02cb7671ab9e86d75a377a3729e0017f29e6a2d,27,179,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b5675cc091383df855d00000000000000000000000000000000000000000039e00361e767184951f8780000000000000000000000000000000000000000000f82fe3d75270eb5d0ee1f000000000000000000000000000000000000000003440e176d6ffd8b3f8b1de20000000000000000000000000000000000000000036034f0f033a67853bd977b
58768406,2024-06-30 00:19:10,0xbcbaf3044a51e3cc821a971ae02cb7671ab9e86d75a377a3729e0017f29e6a2d,27,185,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x0000000000000000000000009dd4705ea51046afc4bf2c76ee4e6480398ccf15', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000c4aff49fced8ac1d818a6dcab063f9f97e66ec5e00000000000000000000000000000000000000000000000020da9960bbf22a54
58768430,2024-06-30 00:20:00,0x0d42921ce0991ca422d6effafe17b228bef26a706b2bd383b7f627140bb6aeb7,70,197,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x000000000000000000000000000000000000000000036b54e7e77562d5679ce700000000000000000000000000000000000000000039e0000ef2db127d1fb0cc0000000000000000000000000000000000000000000f82fbff10155798c89757000000000000000000000000000000000000000003440e17c95dddea82a698750000000000000000000000000000000000000000036034f29f489ecbdf709f1e
